mssv,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8,dtbhk_9,dtbhk_10,dtbhk_11,dtbhk_12,dtbhk_13,dtbhk_14,dtbhk_15,dtbhk_16,dtbhk_17,dtbhk_18,dtbhk_19,dtbhk_20,dtbhk_21,dtbhk_22,dtbhk_23,dtbhk_24,dtb_toankhoa
F47350D9XPvAibaEXe/YiexZYoq8n8FP0R71ulza,7.01,6.4,7.2,7.31,7.66,6.72,6.6,8.39,4.06,1.62,0,6.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.79
B7380E4AXPvAibaEXe/YiexZYoq8n1s2gydCY2+d,6.11,5.32,5.72,6.74,7,6.98,7.53,7.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.81
4E6F6B53XPvAibaEXe/YiexZYoq8nzCPwcgxhSoR,6.69,6.96,6.47,6.41,6.18,2.24,5.21,6.59,7.72,7,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.7
B7798017XPvAibaEXe/YiexZYoq8n4VEM7QbMQLy,5.52,4.82,6.3,5.87,6.37,5,6.91,4.65,5.36,6.73,0,6.59,4.45,6.19,7.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.74
0B2AAC0EXPvAibaEXe9CJmVsz9P34qS8MDP5qhfn,5.39,4.09,7.2,5.76,5.84,7.4,6.73,5.28,1.8,2.4,6.51,6.2,0,6.91,6.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.47
7F57E0CAXPvAibaEXe9CJmVsz9P34gSFnyCRxpl4,3.45,1.91,5.1,3.11,0.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.59
55C4950AXPvAibaEXe9CJmVsz9P34pEFprlIxi9u,7.23,6.29,7.9,7.41,7.89,7.03,7.88,7.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.42
106C1014XPvAibaEXe9CJmVsz9P34llPLLtWfMbO,4.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.11
2D62888EXPvAibaEXe9CJmVsz9P34tT9eWJLg/yU,8.46,7.98,8.2,8.05,8.11,7.14,7,7.77,7.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.94
10BC2077XPvAibaEXe+JF4o+SEKcGNvyuiGTmxfU,5.16,1.97,6.34,6.39,4,7.21,7.37,7.2,6.96,7.82,8.54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.05
