mssv,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8,dtbhk_9,dtbhk_10,dtbhk_11,dtbhk_12,dtbhk_13,dtbhk_14,dtbhk_15,dtbhk_16,dtbhk_17,dtbhk_18,dtbhk_19,dtbhk_20,dtbhk_21,dtbhk_22,dtbhk_23,dtbhk_24,dtb_toankhoa
BC98AFC6XPvAibaEXe/NvjoxH/C+eRRxSeUhwEL8,7.04,7.23,8.5,7.26,8.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.95
82FF5ECDXPvAibaEXe/NvjoxH/C+ebrEzJ51D2Av,7.51,7.03,7.47,7.18,6.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.08
979586BAXPvAibaEXe/NvjoxH/C+eXGAic8i6pfn,5.38,6.14,6.14,4.02,2.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.1
47805DBAXPvAibaEXe/NvjoxH/C+efPLFcetxexN,5.6,7.82,7.89,8.6,8.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.64
AB27E504XPvAibaEXe/NvjoxH/C+eRwbCg54QhWw,5.41,4.23,3.75,6.03,6.96,5.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.01
82249036XPvAibaEXe/NvjoxH/C+eW7NQwl0gcfN,8.54,8.57,8.46,7.82,8.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.31
9C02958DXPvAibaEXe99cj54RqRPPxZaYmp6h/aN,7.75,8.03,8.43,7.75,8.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.98
152D0E20XPvAibaEXe99cj54RqRPPyYJWfDsxlm5,8.18,6.77,5.74,6.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.92
8C6BB2B3XPvAibaEXe99cj54RqRPPxnExYwU4HtY,7.14,6.96,8.03,7.46,5.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.14
25ABD0F9XPvAibaEXe99cj54RqRPP5xxngFzdUAw,8.76,8.54,8.13,8.29,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.41
CEDDD2F8XPvAibaEXe99cj54RqRPP9onFPB1CoCf,7.14,8.1,7.94,8.28,5.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.52
775599BAXPvAibaEXe99cj54RqRPP77c9vWGV5og,8.39,8.16,8.18,8.47,9.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.47
4539E1A9XPvAibaEXe99cj54RqRPP4Ae9mGVWzxR,1.88,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.32
E3B04331XPvAibaEXe/afi6KuJjf+iDxtlB9Z/f2,0.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.68
E022CF79XPvAibaEXe/afi6KuJjf+nERECu5gv2M,6.97,5.84,7.12,6.81,6.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.64
598D72E3XPvAibaEXe/afi6KuJjf+tAHomMr/rV8,5.62,8.02,8.3,8.38,7.39,8.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.72
E350F411XPvAibaEXe/afi6KuJjf+i7Z7PHoi2lX,7.69,7.69,8.21,7.99,7.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.82
6B8E87C0XPvAibaEXe/afi6KuJjf+npxFFsgbOLV,6.51,0,6.63,5.15,6.74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.69
416C36BBXPvAibaEXe/afi6KuJjf+sIr4adKpl8o,7.14,8.05,6.48,6.74,7.47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.2
39A7FB48XPvAibaEXe8Z1ibtCzbf7pot9rO/swVO,7.63,7.65,6.96,7.69,6.1,6.11,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.13
CC771907XPvAibaEXe8Z1ibtCzbf7o6DG/gIvBp+,7.51,8.62,8.74,8.31,8.79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.43
21FD932BXPvAibaEXe8Z1ibtCzbf7r/sLIk94y8f,7.92,7.82,8.08,6.81,8.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.73
46447150XPvAibaEXe8Z1ibtCzbf7lvvFG6n8914,6.26,6.76,6.48,7.21,7.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.75
9D4B7768XPvAibaEXe8Z1ibtCzbf7vUExruu3I4c,5.9,6.62,8.14,6.47,6.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.73
B93A8A34XPvAibaEXe8iDpfibljbVMDYokbvlGT+,7.79,7.8,7.58,5.45,6.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
CC750DAAXPvAibaEXe8iDpfibljbVGPKcDnhJr4d,7.92,7.76,8,7.95,8.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.94
B3487295XPvAibaEXe8iDpfibljbVHQ0k0Q2Ad15,7.42,7.01,8.84,7.97,7.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.82
054AFCA2XPvAibaEXe8iDpfibljbVA5Sfr30nHDC,8.56,8.87,9.06,8.3,9.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.78
7FA9D3DCXPvAibaEXe8iDpfibljbVIhxCsrkT4Yf,7.12,7.5,7.2,7.83,7.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.4
BC65D611XPvAibaEXe8iDpfibljbVLvppVW84qAa,5.64,6.43,7.25,5.82,7.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.28
C37DB27DXPvAibaEXe8iDpfibljbVJ6sU2EpMDUK,6.21,7.47,6.92,7.96,7.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.37
8D460AC8XPvAibaEXe8iDpfibljbVA9A2prE8EJk,8.25,8.66,8.07,8.52,6.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.08
7AEE3155XPvAibaEXe8VTfh7IMCjrwz2QSSSQL0x,5.96,7.17,6.89,6.26,7.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.92
208D9738XPvAibaEXe8VTfh7IMCjr20En8MXrm0f,8.2,8.2,8.19,7.76,8.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.13
F25BCC64XPvAibaEXe8VTfh7IMCjr9NG3ZbRb3pc,2.63,1.57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.17
7D4076ACXPvAibaEXe8VTfh7IMCjrynZuhAfB6QW,6.14,7.12,7.77,7.36,5.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.82
F6974708XPvAibaEXe8VTfh7IMCjr3ZPoOZRTLGu,5.65,5.27,4.96,5.29,2.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.59
8EFE1A69XPvAibaEXe8VTfh7IMCjrxsnc8mtq+B5,8.19,7.68,7.78,7.86,7.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.85
CF1BC731XPvAibaEXe8VTfh7IMCjr1vSYRggAvz4,7.04,8.18,8.96,8.46,7.93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.11
F689431FXPvAibaEXe8VTfh7IMCjrz/O3ufChtcu,7.47,8.63,8.71,7.89,8.18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.18
A2A42B7BXPvAibaEXe8VTfh7IMCjr4zXSOuvcM9y,6.22,7.02,4.98,6.86,5.43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.13
879FF7E3XPvAibaEXe+okMSMP+f8CsN2ZsNg3sav,3.78,7.11,6.68,6.17,6.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.48
DD31F1B7XPvAibaEXe+okMSMP+f8CsN/F4zbnHRn,4.86,6.48,6.22,4.73,6.4,4.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.56
74D3E5A7XPvAibaEXe+okMSMP+f8ChmD4TWtSIPN,8.43,8.37,8.77,8.33,7.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.34
FEDAF906XPvAibaEXe+okMSMP+f8CrkZPEkebWjC,6.71,6.72,6.92,6.78,8.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.18
DA630A7BXPvAibaEXe+okMSMP+f8CsY+No6KFiFD,7.39,7.57,6.9,7.32,8.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.49
682C8D8EXPvAibaEXe+okMSMP+f8CkfRM4in3JpG,7.23,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.23
269A72A5XPvAibaEXe+z0yIauUgqSDr3QHFXCaEs,1.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.15
A7F41E1DXPvAibaEXe+z0yIauUgqSODp9du1mzF4,7.15,7.81,6.26,6.92,6.57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.93
4BA12781XPvAibaEXe+z0yIauUgqSFxg/ZJAQn9l,6.72,7.27,6.88,7.59,8.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.22
0DD436DDXPvAibaEXe+BSAh8mzSNVfF4tx39H5xl,7.48,7.48,7.67,8.23,7.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.78
35895D86XPvAibaEXe+BSAh8mzSNVdKcqnWodDWG,7.24,7.53,8.26,7.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.6
2A9139B9XPvAibaEXe+BSAh8mzSNVXN1gcYh5WWm,6.91,7.59,7.99,8.64,8.72,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.97
567B3840XPvAibaEXe+BSAh8mzSNVSYpLpjC2gNC,6.38,6.9,7.17,6.22,7.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.75
CAD907C7XPvAibaEXe+BSAh8mzSNVdb+dZETEFX4,7.88,7.76,7.16,7.43,6.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.46
D071323DXPvAibaEXe+BSAh8mzSNVXPxuipdRsZn,0.61,3.26,5.43,6.85,6.5,5.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.26
6767D514XPvAibaEXe/X620QmxGwzQfnnKhAohwI,7.79,8.19,8.34,7.95,9.05,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.27
483DBA04XPvAibaEXe/X620QmxGwzcRBrmmHaEyr,6.53,5.96,6.92,6.28,6.65,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.48
EAC61CC6XPvAibaEXe/X620QmxGwzbZzQLtCQi7f,4.61,5.41,5.02,5.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.34
C80D14A1XPvAibaEXe8srAaK3cpz/yN0KUQ7Jk8U,8.14,8.72,8.17,7.74,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.2
FA8429C8XPvAibaEXe8srAaK3cpz/1yKcUx5DB1W,5.85,5.42,7.46,5.85,5.82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.22
06D33082XPvAibaEXe8srAaK3cpz/7AD31CqVMfx,7.83,8.04,7.14,5.81,6.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.17
FC63A2CEXPvAibaEXe8srAaK3cpz/8r9Fz4Lsrmr,6.12,5.58,6.49,5.69,6.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.18
862B285BXPvAibaEXe8srAaK3cpz/4glrU/ko4OO,8.34,8.84,8.58,7.1,8.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.34
5C8AA2DCXPvAibaEXe8srAaK3cpz/96yZtnAxmLV,6.28,7.65,7.83,7.36,7.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.3
574EA280XPvAibaEXe8EJVSfQ2zj450glsSR/jJz,6.7,6.99,7.32,7.33,6.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.93
643EBCB3XPvAibaEXe8EJVSfQ2zj45cqVDOC78i+,6.31,6.67,8.25,4.25,7.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.56
935E257BXPvAibaEXe8EJVSfQ2zj460+yjnt4x4n,5.68,4.58,4.41,5.49,6.9,7.57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.02
08CC6C51XPvAibaEXe8EJVSfQ2zj46hwCkdNcB96,7.59,7.14,7.76,7.12,5.7,7.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.34
C56BD7A5XPvAibaEXe8EJVSfQ2zj4/K3PJpu+m68,4.24,0.27,6.13,6.59,3.35,2.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.5
CF116B2FXPvAibaEXe8EJVSfQ2zj49CjffwUdjPW,8.34,8.25,8.06,7.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.97
8763C935XPvAibaEXe9ev1y8S3u0zC/bwd1VPrLg,8.49,8.06,8.08,8.61,8.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.22
E8C581B2XPvAibaEXe9ev1y8S3u0zJdns/316yrm,3.64,3.04,4.77,2.77,3.75,2.64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.51
8CC1ADF0XPvAibaEXe9ev1y8S3u0zD7SAmaVJJov,7.56,8.25,7.7,4.98,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.15
DEADC9CAXPvAibaEXe9ev1y8S3u0zNLjQ7S/Q82P,6.78,7.84,8.03,8.07,7.6,8.64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.13
089DDED5XPvAibaEXe9ev1y8S3u0zJ9MuVADX9qd,7.5,8,7.97,8.17,7.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.9
8D5691EDXPvAibaEXe9ev1y8S3u0zNjxPkreuIT2,7.41,6.91,7.72,8.02,7.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.42
B302C58FXPvAibaEXe8IDaGhyBHh0+AgukV/3kDG,6.97,8.11,7.76,7.73,7.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.55
A67AA4DCXPvAibaEXe8IDaGhyBHh05pNsSJ6ac6y,6.49,6.25,7.05,7.05,0.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.42
F69DDEE6XPvAibaEXe8IDaGhyBHh09Rdk4JXD4kZ,6.91,7.37,7.64,6.95,6.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.1
57904130XPvAibaEXe8IDaGhyBHh0wYfoTHIEvqQ,6.48,6.37,6.87,7.23,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.77
5BF988A7XPvAibaEXe8IDaGhyBHh0517RFEza/Jc,8,8.16,8.78,8.29,8.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.39
9C60973EXPvAibaEXe+u9g2yz+iQ+MoADtKvq4LM,8.21,8.27,8.66,8.29,7.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.26
CEE22A0CXPvAibaEXe+u9g2yz+iQ+CvD6Fdl2K68,8.51,8.73,8.41,7.79,7.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.23
B1B36CBFXPvAibaEXe+u9g2yz+iQ+Pnx5izfR5/E,7.66,7.51,8.01,7.57,7.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.58
B559D80FXPvAibaEXe+u9g2yz+iQ+E/2kTgkJbwr,2.46,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.67
2E10FDCEXPvAibaEXe+heDAQ/Ar4Cv3oPJBmzKHD,7.94,8.08,8.53,8.28,8.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.22
B13F3DC2XPvAibaEXe+heDAQ/Ar4Cstykn4SIVFn,7.06,7.52,8.3,8,8.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.87
575EA59DXPvAibaEXe+heDAQ/Ar4Csw9npH5xYMl,7.04,7.8,8.15,7.94,8.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.78
92DCB063XPvAibaEXe+heDAQ/Ar4Cuc+8cN7dTG/,8.05,8.76,8.74,7.54,8.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.35
C1D9D4ADXPvAibaEXe+heDAQ/Ar4CqWg1Hg3vUvz,3.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.8
77CB8986XPvAibaEXe8caHEFy7zXtexo70vy8AL+,8.98,9.23,9.04,9.27,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.11
C7398C3BXPvAibaEXe8caHEFy7zXtWJOH8BRVCeJ,6.23,7.98,7.04,7.27,0,5.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.12
48779699XPvAibaEXe8caHEFy7zXtVkGARzVd0FP,8.35,8.05,7.68,6.87,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.79
847CC947XPvAibaEXe8caHEFy7zXtW7CW9QL7xoE,8.08,8.65,8.26,8.03,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.27
20A49ACBXPvAibaEXe8caHEFy7zXtcNCVkdp143z,5,6.85,6.98,6.03,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.28
92552CA5XPvAibaEXe/lVQmKmmYDO3DPNRH6T3+l,6.45,7.98,7.02,6.27,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.98
AD179659XPvAibaEXe/lVQmKmmYDOwSeYQHC8sPz,3.88,3.59,5.09,3.98,1.91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.72
C60BA21FXPvAibaEXe/lVQmKmmYDO2Lx2RTSy5Us,7.53,7.31,7.9,7.99,7.8,7.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.68
65CEF361XPvAibaEXe+cwJHZ8eVX0oJvDCkcPY+F,7,7.4,0.3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.92
D3847432XPvAibaEXe+cwJHZ8eVX0ofOuFBpFs1s,8.28,8.6,8.82,7.63,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.41
F28C959CXPvAibaEXe+cwJHZ8eVX0mgLLcowSZss,7.26,8.14,7.25,7.6,7.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.65
8BEE9330XPvAibaEXe8KQ+dBN9lrefXn+xQhYW+/,8.93,8.59,8.4,8.26,7.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.19
3E253A6DXPvAibaEXe8KQ+dBN9lrea7cXsVXphKa,8.77,7.96,8.18,7.6,7.18,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.87
23ADE830XPvAibaEXe8KQ+dBN9lreRsRIKl4e0Ug,5.08,5.41,7.6,7.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.23
C8CA95F4XPvAibaEXe8KQ+dBN9lrefdvgmUVw1Sn,5.99,6.16,6.87,5.53,4.54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.19
CD739D9CXPvAibaEXe8KQ+dBN9lreQTBp8uYMANH,7.34,7.64,8.05,6.98,7.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.51
CCCD3921XPvAibaEXe8KQ+dBN9lreQbRcvaXkkOS,7.09,7.65,8.21,8.39,8.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.06
09EB196CXPvAibaEXe8p9EUNm1rzju5Q0NrYf1kY,7.85,7.19,6.73,6.01,6.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.8
C45C69E1XPvAibaEXe8p9EUNm1rzjsjhmyWJ+Sho,7.16,7.35,7.8,7.32,6.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.29
67D137A2XPvAibaEXe8p9EUNm1rzjvKUl7BrKjoM,5.9,6.78,6.37,7.46,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.2
2795AB4FXPvAibaEXe8p9EUNm1rzjrbq0hrSdtIr,4.93,7.37,7.91,5.9,7.45,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.42
EF5D85A3XPvAibaEXe8p9EUNm1rzjtStZuC0k8S+,6.93,7.56,8.03,7.64,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.75
B0B91320XPvAibaEXe8s/QohNs6kgP18y/B3zNGR,7.58,8.1,8.2,7.72,6.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.54
E35C6856XPvAibaEXe8s/QohNs6kgIr5qatRm89Z,8.37,8.85,8.74,8.45,8.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.54
67E71124XPvAibaEXe8s/QohNs6kgOTt7VbVM24i,7.23,7.31,8.04,7.7,8.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.7
21160272XPvAibaEXe8s/QohNs6kgNONCEo6Dcxz,6.99,6.57,6.98,3.98,7.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.37
